parking,path
inside,/home/jupyter/mnt/datasets/scooters_data/377d03d63ab44d918470004d1c510371.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/67ed1ec916244f448a988be85acb4131.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/9bb7ddd232ae4293b9f68e861dd5475c.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/ba3510f287f14c05b50cb572b78e28cc.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/958e9fbf4bc54e36a58e5adff4997d35.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/423ce994606a4fcaa82eb07619c025ea.jpeg
hard_to_say,/home/jupyter/mnt/datasets/scooters_data/0eaa583b723647cc95bd1e93c89f6ac1.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/43b23c7d974d4cc799c92fc3387ab08e.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/3cb717200231421c93356ce59a268f85.jpeg
hard_to_say,/home/jupyter/mnt/datasets/scooters_data/7563e69bd4cc41a4b17c44fa54441b28.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/e7a870a02b2842aba0577068647c1ce0.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/2060da2132b5450c9ee526f162dba6cc.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/8f6e826d700c401a815d48d1ad4cf94b.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/7c1b81d24f814b0f8c9e9c09d3f7788f.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/4ec4320e61fe4e6b9ec468366ae4da3e.jpeg
outside,/home/jupyter/mnt/datasets/scooters_data/36b8f4d6cf6c41588d7844b7878a7cb2.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/d75dc383237046d8a39e83a4893afeac.jpeg
outside,/home/jupyter/mnt/datasets/scooters_data/67cebb14826a45cab903a0a91e2d5efa.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/9345af5110724c028ca04a0561c13047.jpeg
outside,/home/jupyter/mnt/datasets/scooters_data/74fd6a87116641029e418b13012cab83.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/f1bf9f8d8273430eb8eadf39b514a6eb.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/638a6c7b5158463ba0dc9c64b47666e4.jpeg
hard_to_say,/home/jupyter/mnt/datasets/scooters_data/2c7187dcf070463d99c8fa4dc56ac6ec.jpeg
outside,/home/jupyter/mnt/datasets/scooters_data/7aca8f6a8f0744f78d080cd706361deb.jpeg
outside,/home/jupyter/mnt/datasets/scooters_data/ca268918db734427a2bac95bd6ed1926.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/d27bc213b7c040ce807acdde04a7d46d.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/885d585d523f4a6b83ba225a81c8ee7d.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/3c0ad9139a8c4752a0a0217f46b3a26b.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/ad92d83dae39460892f131deb0744ceb.jpeg
inside,/home/jupyter/mnt/datasets/scooters_data/f9137c9beb244299b7d92c0f1753dff6.jpeg
